Name,Latitude,Longitude
"Nagora Fitness - Gimnasio en Poblenou, Sant Martí, Barcelona - Entrenamiento Funcional",41.4088713,2.2025311
Anytime Fitness Poblenou,41.4015729,2.1979374
BIGG Poblenou,41.4045633,2.1970063
Entrena en Barcelona,41.4114296,2.1997294
TRIB3 Poblenou,41.4057628,2.1994169
CEM Can Felipa,41.4036762,2.2002958
Fitness Bienestar,41.4036259,2.204466
Tuluka Fitness Club - Cross Training,41.4019644,2.2032702
DynamiCore,41.4050801,2.1951802
Condal CrossFit Barcelona,41.4031521,2.1977674
