name,latitude,longitude
Motomaki & Sushi,41.4311719,2.1782299
IKOYA Izakaya,41.3865815,2.177749700000001
Izakaya Barcelona Gastro & Sushi (antiguo GENSÕ),41.4199997,2.1830871
Carlota Akaneya,41.3823811,2.1686162
Restaurant Una Mica de Japó,41.3837251,2.1538278
Robata,41.390463,2.1584258
Shunka,41.3851944,2.17515
Can Kenji,41.4004302,2.1663634
El Japonés Escondido,41.3816841,2.1830405
Koy Shunka,41.3858377,2.1753023
Fukamura,41.4032366,2.1680275
Jara Sushi Omakase,41.40363929999999,2.1430681
sato i tanaka,41.3945896,2.1689869
Kasa Japo,41.3860838,2.1675638
Kurai Restaurant Japonès,41.375739,2.1483363
SUTO barcelona,41.379945,2.1335171
Matsuri Sushi Bar - Restaurante Japonés,41.3817758,2.1788377
Sushi Yoi,41.4265943,2.1726377
Majide,41.3850177,2.167559
URIBOU,41.3996426,2.1504708
Kiku Restaurant Japonès,41.4011018,2.1502763
Oishii ramen | Urquinaona,41.3893222,2.1741823
Suki Ramen Sapporo - Barcelona,41.386676,2.1749476
Monster Sushi | Sarrià,41.3994807,2.1519907
Ramen-ya Hiro - Restaurant Japonés,41.3997038,2.1650737
Restaurant Ají,41.3863067,2.1970086
Más Que Sushi Ronda Universitat,41.3871044,2.1669944
MAKO JAPANESE TAVERN ORIENTAL FOOD,41.3868119,2.1598246
Sushiko,41.4351509,2.1813458
Seikou Sushi-Barcelona,41.41812729999999,2.2048515
Tempura-Ya,41.3909955,2.1534359
Yamato BBQ Barcelona,41.4027626,2.1770485
Restaurante Nami,41.39212759999999,2.1910297
AH-UN Japonès BBQ i Sushi | Barcelona,41.38949059999999,2.162228
La Uramakeria,41.4227479,2.1849928
Jin Sushi Bar,41.4041212,2.1715168
Desoriente,41.4006832,2.2037575
Akashi Gallery | Barcelona,41.3922902,2.1557999
Ikibana Paral·lel | Restaurante fusión japonesa-brasileña,41.3751893,2.15835
Monster Sushi | Restaurante japonés Barcelona,41.3949058,2.1713006
Yoüme Sushi - Nou Barris,41.42979920000001,2.180964
Kynoto Sushi Bar,41.3815819,2.1798377
Nakashita Born,41.3899157,2.1798488
Koikoi Sushi,41.4079615,2.1685544
Yoüme Sushi - Eixample Dreta,41.3991367,2.1723755
Tomodachi - Restaurant Japonès,41.4054694,2.1646036
MOSHIO Sushi - Ramen & Poke,41.4059306,2.2004976
Mr Sushi,41.4086898,2.1825675
Restaurant Rakumi,41.381141,2.1805564
Nomomoto,41.3930418,2.1306519
Bona Sort Sushi,41.4002288,2.1793462
Konkai sushi House,41.4005514,2.1706219
Ikibana | Born,41.3863831,2.1844244
Kiniro Sushi,41.4362247,2.1898217
Restaurante cuina japonesa Sushiyaki,41.385024,2.1573258
Fukuoka sushi,41.40230810000001,2.1613903
Need,41.408679,2.207162
Jardín Sushi Bar,41.4205931,2.199397
Neko Sushi Pujades Take-away & Delivery,41.3993263,2.1974163
Miku Sushi-teria,41.4019948,2.1727165
